company,period,revenue,gross_margin,inventory,capex,eps
聯發科,2025Q1,1330,47.2,520,180,17.1
聯發科,2025Q2,1280,46.8,550,170,15.8
聯發科,2025Q3,1365,47.5,530,185,17.9
聯發科,2025Q4,1420,48.1,505,195,18.6
台積電,2025Q1,5920,53.1,980,3050,12.9
台積電,2025Q2,6100,53.5,1005,3200,13.2
台積電,2025Q3,6400,54.0,1025,3350,14.1
台積電,2025Q4,6750,54.4,1010,3500,15.0
日月光投控,2025Q1,1480,17.1,430,260,2.6
日月光投控,2025Q2,1515,17.4,425,275,2.7
日月光投控,2025Q3,1560,17.8,420,290,2.9
日月光投控,2025Q4,1615,18.0,415,300,3.0
欣興,2025Q1,285,15.2,160,48,1.1
欣興,2025Q2,295,15.8,158,52,1.2
欣興,2025Q3,310,16.5,152,55,1.4
欣興,2025Q4,326,17.1,149,60,1.6
南電,2025Q1,110,14.8,82,20,0.7
南電,2025Q2,115,15.1,80,22,0.8
南電,2025Q3,121,15.7,79,24,0.9
南電,2025Q4,128,16.2,77,26,1.0
景碩,2025Q1,102,16.0,70,18,0.8
景碩,2025Q2,107,16.3,69,19,0.85
景碩,2025Q3,111,16.8,67,21,0.92
景碩,2025Q4,118,17.2,65,22,1.0
