source_id,metric_id,observations,first_period,last_period,latest_published_at
mops_abf_monthly_revenue,abf_company_revenue_yoy::3037.TW,32,2024-01-30,2026-08-30,2026-09-10T15:59:59+00:00
mops_abf_monthly_revenue,abf_company_revenue_yoy::3189.TW,32,2024-01-30,2026-08-30,2026-09-10T15:59:59+00:00
mops_abf_monthly_revenue,abf_company_revenue_yoy::8046.TW,32,2024-01-30,2026-08-30,2026-09-10T15:59:59+00:00
tpca_public_industry,ccl_export_yoy,32,2024-01-30,2026-08-30,2026-09-23T15:59:59+00:00
tpca_public_industry,ccl_import_yoy,32,2024-01-30,2026-08-30,2026-09-23T15:59:59+00:00
tpca_public_industry,pcb_material_revenue_yoy,32,2024-01-30,2026-08-30,2026-09-23T15:59:59+00:00
tpca_public_industry,pcb_revenue_yoy,32,2024-01-30,2026-08-30,2026-09-16T15:59:59+00:00
tpca_public_industry,rigid_pcb_export_yoy,32,2024-01-30,2026-08-30,2026-09-16T15:59:59+00:00
trendforce_public_dram,dram_contract_ddr4_16gb_sodimm,1,2026-07-31,2026-07-31,2026-07-31T07:00:00+00:00
trendforce_public_dram,dram_contract_ddr5_8gb_sodimm,1,2026-07-31,2026-07-31,2026-07-31T07:00:00+00:00
trendforce_public_dram,dram_spot_ddr5_16gb,4,2026-09-21,2026-09-24,2026-09-24T10:10:00+00:00
