metric_id,period,period_date,published_at,change_pct,chain,dimension,title,source_url,source,knowledge_time_method
ccl_export_yoy,2024-01,2024-01-31T00:00:00+08:00,2024-02-20T23:59:59+08:00,23.6,CCL,physical_throughput,2024年1月台灣CCL 出口YoY 23.6%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=22133,TPCA public industry chart,page_publication_date
ccl_import_yoy,2024-01,2024-01-31T00:00:00+08:00,2024-02-20T23:59:59+08:00,87.0,CCL,market_tightness,2024年1月台灣CCL 進口YoY 87.0%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=22132,TPCA public industry chart,page_publication_date
pcb_material_revenue_yoy,2024-01,2024-01-31T00:00:00+08:00,2024-02-20T23:59:59+08:00,13.7,CCL,physical_throughput,2024年1月台灣上市櫃PCB原物料營收YoY 13.7%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=22134,TPCA public industry chart,page_publication_date
pcb_revenue_yoy,2024-01,2024-01-31T00:00:00+08:00,2024-02-19T23:59:59+08:00,7.05,Networking,physical_throughput,2024年1月 PCB上市櫃營收 YoY 7.05%.,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=22105,TPCA public industry chart,page_publication_date
rigid_pcb_export_yoy,2024-01,2024-01-31T00:00:00+08:00,2024-02-19T23:59:59+08:00,1.69,Networking,physical_throughput,2024年1月台灣硬板出口YoY1.69%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=22106,TPCA public industry chart,page_publication_date
ccl_export_yoy,2024-02,2024-02-29T00:00:00+08:00,2024-03-20T23:59:59+08:00,4.2,CCL,physical_throughput,2024年2月台灣CCL 出口YoY 4.2%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23275,TPCA public industry chart,page_publication_date
ccl_import_yoy,2024-02,2024-02-29T00:00:00+08:00,2024-03-20T23:59:59+08:00,-10.3,CCL,market_tightness,2024年2月台灣CCL 進口YoY -10.3%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23274,TPCA public industry chart,page_publication_date
pcb_material_revenue_yoy,2024-02,2024-02-29T00:00:00+08:00,2024-03-20T23:59:59+08:00,-16.5,CCL,physical_throughput,2024年2月台灣上市櫃PCB原物料營收YoY -16.5%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23276,TPCA public industry chart,page_publication_date
pcb_revenue_yoy,2024-02,2024-02-29T00:00:00+08:00,2024-03-13T23:59:59+08:00,-9.21,Networking,physical_throughput,2024年2月 PCB上市櫃營收 YoY -9.21%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23244,TPCA public industry chart,page_publication_date
rigid_pcb_export_yoy,2024-02,2024-02-29T00:00:00+08:00,2024-03-13T23:59:59+08:00,-17.37,Networking,physical_throughput,2024年2月台灣硬板出口YoY-17.37%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23246,TPCA public industry chart,page_publication_date
